,date,notes,name
2377,2012-12-04,hyperextended left big toe (DNP),nickyoung
2378,2012-12-04,tendinitis in both knees (DNP),paugasol
2379,2012-12-04,back spasms (DNP),andreikirilenko
2380,2012-12-05,stress reaction in left ankle (DNP),anthonydavis
2381,2012-12-05,plantar fasciitis in right foot (DNP),derrickfavors
2382,2012-12-05,sore left foot (DNP),marcuscamby
2383,2012-12-05,tendinitis in both knees (DNP),paugasol
2384,2012-12-05,hamstring injury (DNP),dannygreen
2385,2012-12-05,ankle injury (DNP),patrickmillspattymills
2386,2012-12-05,back spasms (DNP),andreikirilenko
2387,2012-12-06,laceration on left middle finger (DNP),carmeloanthony
2388,2012-12-06,sore left foot (DNP),marcuscamby
2389,2012-12-07,stomach virus (DNP),kwamebrown
2390,2012-12-07,hyperextended left big toe (DNP),nickyoung
2391,2012-12-07,strained right groin (DNP),royalivey
2393,2012-12-07,stress reaction in left ankle (DNP),anthonydavis
2394,2012-12-07,back spasms (DNP),aljefferson
2395,2012-12-07,plantar fasciitis in right foot (DNP),derrickfavors
2396,2012-12-07,sore left knee (DNP),tyrekeevans
2397,2012-12-07,tendinitis in both knees (DNP),paugasol
2398,2012-12-07,strained left calf (DNP),trevorariza
2399,2012-12-08,hyperextended left big toe (DNP),nickyoung
2400,2012-12-08,strained right groin (DNP),royalivey
2402,2012-12-08,stress reaction in left ankle (DNP),anthonydavis
2403,2012-12-08,left knee injury (DNP),tyrekeevans
2404,2012-12-08,laceration on left middle finger (DNP),carmeloanthony
2405,2012-12-08,sprained left ankle (DNP),dejuanblair
2406,2012-12-08,sprained right knee (DTD),pjtucker
2407,2012-12-08,strained left calf (DNP),trevorariza
2408,2012-12-09,plantar fasciitis in right foot (DNP),derrickfavors
2409,2012-12-09,sore left foot (DNP),marcuscamby
2410,2012-12-09,sore left foot (DNP),rasheedwallace
2411,2012-12-09,tendinitis in both knees (DNP),paugasol
2412,2012-12-09,left knee tendinitis (DNP),mickaelpietrus
2414,2012-12-10,strained right calf (DNP),damienwilkins
2415,2012-12-10,strained right groin (DNP),royalivey
2416,2012-12-10,bruised left hip (DNP),wesleymatthewswesmatthewsjr
2417,2012-12-10,sore left knee (DNP),tyrekeevans
2419,2012-12-10,right knee injury (DNP),linaskleiza
2420,2012-12-10,sprained right ankle (DNP),jamesharden
2421,2012-12-11,sore left foot (DNP),marcuscamby
2422,2012-12-11,tendinitis in both knees (DNP),paugasol
2423,2012-12-11,fractured right hand (DNP),ajprice
2424,2012-12-11,strained left calf (DNP),trevorariza
2425,2012-12-12,strained right calf (DNP),damienwilkins
2426,2012-12-12,strep throat (DNP),royalivey
2428,2012-12-12,left knee injury (DTD),kirkhinrich
2429,2012-12-12,gastroenteritis (DNP),omricasspi
2431,2012-12-12,torn right triceps (DNP),kylelowry
2432,2012-12-12,sore right knee (DNP),linaskleiza
2435,2012-12-12,fractured right hand (DNP),ajprice
2436,2012-12-12,strained left calf (DNP),trevorariza
2437,2012-12-13,sore left foot (DNP),marcuscamby
2438,2012-12-13,tendinitis in both knees (DNP),paugasol
2439,2012-12-14,sprained left foot (DTD),jrueholiday
2440,2012-12-14,bruised left knee (DNP),mikedunleavyjr
2441,2012-12-14,sprained right shoulder (DNP),jasonsmith
2442,2012-12-14,back spasms (DNP),jordanhill
2443,2012-12-14,tendinitis in both knees (DNP),paugasol
2444,2012-12-14,sprained right ankle (DNP),lancestephenson
2445,2012-12-14,hyperextended right knee (DNP),malcolmleemalcomlee
2446,2012-12-14,fractured right hand (DNP),ajprice
2447,2012-12-14,strained left calf (DNP),trevorariza
2448,2012-12-15,bruised left knee (DNP),kirkhinrich
2449,2012-12-15,gastroenteritis (DNP),omricasspi
2450,2012-12-15,concussion (DNP),darrellarthur
2451,2012-12-15,sprained left ankle (DNP),carmeloanthony
2452,2012-12-15,sore left foot (DNP),marcuscamby
2453,2012-12-15,sore left foot (DNP),rasheedwallace
2454,2012-12-15,sprained right ankle (DNP),lancestephenson
2455,2012-12-15,hyperextended right knee (DNP),joshhoward
2456,2012-12-15,flu (P) / right thumb injury (CBC) (DNP),kevinlove
2457,2012-12-15,hyperextended right knee (DNP),malcolmleemalcomlee
2458,2012-12-15,bruised right knee (DNP),festusezeli
2459,2012-12-15,sore left foot (DNP),nenenenehilariomaybynerhilario
2460,2012-12-16,sprained left foot (DNP),jrueholiday
2461,2012-12-16,back spasms (DNP),jordanhill
2462,2012-12-16,tendinitis in both knees (DNP),paugasol
2463,2012-12-16,bone bruise in right foot (DNP),patrickpatterson
2464,2012-12-17,sore left knee (DNP),tyrekeevans
2465,2012-12-17,sprained left ankle (DNP),carmeloanthony
2466,2012-12-17,sore left foot (DNP),marcuscamby
2467,2012-12-17,back spasms (DNP),rodneystuckey
2468,2012-12-17,bone bruise in right foot (DNP),patrickpatterson
2469,2012-12-17,bruised left quadricep (DNP),emanuelginobilimanuginobili
2470,2012-12-17,hyperextended right knee (DNP),joshhoward
2471,2012-12-17,hyperextended right knee (DNP),malcolmleemalcomlee
2472,2012-12-18,sprained left foot (DNP),jrueholiday
2474,2012-12-18,strained right groin (DNP),eltonbrand
2475,2012-12-18,hyperextended right knee (DNP),joshhoward
2476,2012-12-18,hyperextended right knee (DNP),malcolmleemalcomlee
2477,2012-12-18,rest / sore left knee (DNP),rickyrubio
2478,2012-12-18,fractured right hand (DNP),ajprice
2479,2012-12-18,strained left calf (DNP),trevorariza
2480,2012-12-19,sprained left foot (DNP),jrueholiday
2481,2012-12-19,sprained right ankle (DNP),danielgibson
2482,2012-12-19,sprained right thumb (out indefinitely),chriswilcox
2483,2012-12-19,sore left foot (DNP),marcuscamby
2484,2012-12-19,sore left foot (DNP),rasheedwallace
2486,2012-12-19,bone bruise in right foot (DNP),patrickpatterson
2487,2012-12-19,back injury (DNP),bradleybeal
2488,2012-12-20,sore left ankle (DNP),lamarcusaldridge
2489,2012-12-20,strained left shoulder (out indefinitely),glendavis
2490,2012-12-20,sprained right ankle (DNP),brandanwright
2491,2012-12-20,strained right knee (DNP),derekfisher
2492,2012-12-20,strained right groin (DNP),eltonbrand
2493,2012-12-20,bruised right quadriceps (DNP),kevinmartin
2494,2012-12-20,hyperextended right knee (DNP),malcolmleemalcomlee
2495,2012-12-20,torn ACL in right knee (out indefinitely),joshhoward
2496,2012-12-21,sore right knee (DNP),bengordon
2497,2012-12-21,sprained right thumb (DNP),chriswilcox
2498,2012-12-21,sore lower back (DNP),franciscogarcia
2499,2012-12-21,sore left foot (DNP),marcuscamby
2500,2012-12-21,sore left foot (DNP),rasheedwallace
2501,2012-12-21,sprained left shoulder (DNP),glendavis
2502,2012-12-21,strained right groin (DNP),eltonbrand
2503,2012-12-21,fractured right ring finger (out indefinitely),jonasvalanciunas
2504,2012-12-21,fractured right hand (DNP),ajprice
2505,2012-12-21,sore back (DNP),bradleybeal
2506,2012-12-21,sore left foot (P) / flu (CBC) (DNP),nenenenehilariomaybynerhilario
2507,2012-12-21,strained left calf (DNP),trevorariza
2508,2012-12-22,sore right knee (DNP),bengordon
2509,2012-12-22,bruised right shin (DNP),geraldhenderson(b)
2510,2012-12-22,migraine headache (DNP),tonywrotenjr
2511,2012-12-22,fractured right hand (DNP),ajprice
2512,2012-12-22,strained left calf (DNP),trevorariza
2513,2012-12-23,left hip injury (DNP),wesleymatthewswesmatthewsjr
2514,2012-12-23,sprained left ankle (out indefinitely),byronmullensbjmullens
2515,2012-12-23,sprained right thumb (out indefiinitely),mauricewilliamsmowilliams
2516,2012-12-23,sprained right thumb (DNP),mauricewilliamsmowilliams
2517,2012-12-23,sore lower back (DNP),franciscogarcia
2518,2012-12-23,sore left foot (DNP),marcuscamby
2519,2012-12-23,sore left foot (DNP),rasheedwallace
2520,2012-12-23,sprained left shoulder (DNP),glendavis
2521,2012-12-23,left eye injury (DNP),kevinlove
2522,2012-12-23,hyperextended right knee (DNP),malcolmleemalcomlee
2523,2012-12-25,sore left foot (DNP),rasheedwallace
2524,2012-12-26,strained lower back (DNP),jasonrichardson
2525,2012-12-26,sprained right thumb (DNP),mauricewilliamsmowilliams
2526,2012-12-26,hyperextended left knee (DNP),carmeloanthony
2527,2012-12-26,sore left foot (DNP),rasheedwallace
2528,2012-12-26,fractured right pinky finger (DNP),raymondfelton
2529,2012-12-26,sprained left shoulder (DNP),glendavis
2530,2012-12-26,bruised right wrist (DNP),deronwilliams
2531,2012-12-26,strained right calf (DNP),garyneal
2532,2012-12-26,hyperextended right knee (DNP),malcolmleemalcomlee
2533,2012-12-27,sprained right thumb (DNP),chriswilcox
2534,2012-12-28,knee injury (DNP),deshawnstevenson
2536,2012-12-28,sprained right thumb (DNP),mauricewilliamsmowilliams
2537,2012-12-28,hyperextended left knee (DNP),carmeloanthony
2538,2012-12-28,sore left foot (DNP),rasheedwallace
2539,2012-12-28,fractured right pinky finger (DNP),raymondfelton
2540,2012-12-28,sprained left shoulder (DNP),glendavis
2543,2012-12-28,strained right calf (DNP),garyneal
2544,2012-12-28,fractured right hand (DNP),ajprice
2545,2012-12-28,strained left calf (DNP),trevorariza
2546,2012-12-29,hip injury (DNP),rajonrondo
2547,2012-12-29,strained right hip (DTD),anthonymorrow
2548,2012-12-29,hip flexor injury (DNP),joshsmith
2549,2012-12-29,sprained left elbow (DNP),etwaunmoore
2550,2012-12-29,sore left hip (DNP),jameernelson
2553,2012-12-29,hyperextended right knee (DNP),malcolmleemalcomlee
2554,2012-12-29,back spasms (DNP),rickyrubio
2555,2012-12-29,fractured right hand (DNP),ajprice
2556,2012-12-29,sore left ankle (DNP),jordancrawford
2557,2012-12-29,strained left calf (DNP),trevorariza
2558,2012-12-30,sprained right thumb (DNP),chriswilcox
2559,2012-12-30,right knee inflammation (DNP),marvinwilliams
2560,2012-12-30,sprained right thumb (DNP),mauricewilliamsmowilliams
2561,2012-12-30,sore left ankle (DNP),aaronbrooks
2562,2012-12-30,strained right calf (DNP),garyneal
2563,2012-12-31,scratched cornea (DNP),michaelkiddgilchrist
2564,2012-12-31,left knee injury (DNP),kirkhinrich
2565,2012-12-31,sprained left elbow (DNP),etwaunmoore
2566,2012-12-31,bruised right thigh (DNP),gustavoayon
2567,2012-12-31,sore left hip (DNP),jameernelson
2568,2012-12-31,strained right groin (DNP),georgehill
2569,2012-12-31,strained right calf (DNP),garyneal
2570,2013-01-01,strained right hip (DNP),anthonymorrow
2571,2013-01-01,sprained left ankle (DNP),marcusthornton(t)
2572,2013-01-01,sore left foot (DNP),rasheedwallace
2573,2013-01-01,back spasms (DNP),chrisduhon
2574,2013-01-01,strained left Achilles tendon (DNP),tylawson
2575,2013-01-01,fractured right hand (DNP),ajprice
2576,2013-01-01,strained left calf (DNP),trevorariza
2579,2013-01-02,sprained right ankle (DNP),krisjoseph
2580,2013-01-02,right knee injury (DNP),ericgordon
2581,2013-01-02,surgery on right thumb (out indefinitely),mauricewilliamsmowilliams
2582,2013-01-02,recovering from surgery on right thumb (DNP),mauricewilliamsmowilliams
2583,2013-01-02,sprained left ankle (DNP),marcusthornton(t)
2584,2013-01-02,sprained left elbow (DNP),etwaunmoore
2585,2013-01-02,right knee injury (DTD),cjwatson
2586,2013-01-02,sore right knee (DNP),linaskleiza
2588,2013-01-02,hyperextended right knee (DNP),malcolmleemalcomlee
2589,2013-01-02,back spasms (DNP),rickyrubio
2590,2013-01-02,fractured right hand (DNP),ajprice
2591,2013-01-02,strained left calf (DNP),trevorariza
2592,2013-01-02,concussion (DTD),fabmelo
2593,2013-01-03,sore left foot (DNP),rasheedwallace
2594,2013-01-03,hyperextended right knee (DNP),malcolmleemalcomlee
2595,2013-01-03,back spasms (DNP),rickyrubio
2596,2013-01-04,sore left foot (DNP),jamalcrawford
2598,2013-01-04,strained right hip (DNP),anthonymorrow
2599,2013-01-04,sore back / flu (DNP),johanpetro
2600,2013-01-04,sprained right ankle (DNP),eneskanter
2601,2013-01-04,recovering from surgery on right thumb (DNP),mauricewilliamsmowilliams
2602,2013-01-04,sprained left ankle (DNP),marcusthornton(t)
2603,2013-01-04,sprained left ankle (DNP),samyoung
2604,2013-01-04,sore right knee (DNP),linaskleiza
2605,2013-01-04,fractured right hand (DNP),ajprice
2606,2013-01-04,strained left calf (DNP),trevorariza
2607,2013-01-05,sprained left ankle (DNP),samyoung
2609,2013-01-05,sore left foot (DNP),jamalcrawford
2610,2013-01-05,strained right hip (DNP),anthonymorrow
2611,2013-01-05,sprained right ankle (DNP),eneskanter
2612,2013-01-05,recovering from surgery on right thumb (DNP),mauricewilliamsmowilliams
2613,2013-01-05,sprained left ankle (DNP),marcusthornton(t)
2614,2013-01-05,sore left foot (DNP),rasheedwallace
2615,2013-01-05,sprained left elbow (DNP),etwaunmoore
2616,2013-01-05,bruised right thigh (DNP),gustavoayon
2617,2013-01-05,sprained right ankle (DNP),stephenjackson
2618,2013-01-05,fractured right hand/finger (DNP),kevinlove
2619,2013-01-05,hyperextended right knee (DNP),malcolmleemalcomlee
2620,2013-01-05,back spasms (DNP),rickyrubio
2622,2013-01-06,sore right knee (DNP),linaskleiza
2623,2013-01-06,fractured right hand (DNP),ajprice
2624,2013-01-06,strained left calf (DNP),trevorariza
2625,2013-01-07,recovering from surgery on right thumb (DNP),mauricewilliamsmowilliams
2626,2013-01-07,sore left foot (DNP),rasheedwallace
2627,2013-01-07,strained left elbow (DNP),etwaunmoore
2628,2013-01-07,bruised right thigh (DNP),gustavoayon
2629,2013-01-07,hyperextended left knee (DNP),cartiermartin
2630,2013-01-07,sore left ankle (DNP),jordancrawford
2631,2013-01-07,right knee tendinitis (DNP),nenenenehilariomaybynerhilario
2632,2013-01-08,sore back (DNP),johanpetro
2633,2013-01-08,right shoulder injury (DNP),dwighthoward
2634,2013-01-08,right hip injury (DNP),jordanhill
2635,2013-01-08,concussion (DNP),paugasol
2636,2013-01-08,fractured right hand/finger (DNP),kevinlove
2637,2013-01-08,hyperextended right knee (DNP),malcolmleemalcomlee
2638,2013-01-09,right elbow injury (DNP),kirkhinrich
2639,2013-01-09,back spasms (DNP),cjmiles
2640,2013-01-09,strained right hip (DNP),anthonymorrow
2641,2013-01-09,right knee inflammation (DNP),marvinwilliams
2642,2013-01-09,right shoulder injury (DNP),dwighthoward
2643,2013-01-09,left hip injury (DNP),jordanhill
2644,2013-01-09,concussion (DNP),paugasol
2645,2013-01-09,sprained left elbow (DNP),etwaunmoore
2646,2013-01-09,bruised right thigh (DNP),gustavoayon
2647,2013-01-09,left hand injury (DTD),hidayetturkogluhedoturkoglu
2648,2013-01-09,sore right knee (DNP),linaskleiza
2649,2013-01-09,sprained left ankle (DNP),terrenceross
2650,2013-01-09,back spasms (DNP),josejuanbareajosebareajjbarea
2651,2013-01-09,fractured right hand/finger (DNP),kevinlove
2652,2013-01-09,hyperextended right knee (DNP),malcolmleemalcomlee
2653,2013-01-10,surgery on right knee to repair torn muscle,andersonvarejao
2654,2013-01-10,sore left foot (DNP),rasheedwallace
2655,2013-01-11,right knee inflammation (DNP),marvinwilliams
2656,2013-01-11,strained left foot (DNP),marcuscamby
2657,2013-01-11,sore left foot (DNP),rasheedwallace
2658,2013-01-11,right shoulder injury (DNP),dwighthoward
2659,2013-01-11,left hip injury (DNP),jordanhill
2660,2013-01-11,concussion (DNP),paugasol
2661,2013-01-11,sore left ankle (DNP),krishumphries
2663,2013-01-11,sore right knee (DNP),linaskleiza
2664,2013-01-11,back spasms (DNP),josejuanbareajosebareajjbarea
2665,2013-01-11,fractured right hand/finger (DNP),kevinlove
2667,2013-01-11,hyperextended right knee (DNP),malcolmleemalcomlee
2668,2013-01-11,strained right groin (DNP),andrisbiedrins
2669,2013-01-12,sprained MCL in left knee (DNP),quincypondexter
2670,2013-01-12,right knee inflammation (DNP),marvinwilliams
2671,2013-01-12,bruised right thigh (DNP),gustavoayon
2672,2013-01-12,right wrist injury (DTD),jareddudley
2673,2013-01-12,surgery on right knee and right hip (out for season) (date approximate),malcolmleemalcomlee
2674,2013-01-12,sore left ankle (DNP),jordancrawford
2675,2013-01-13,strained plantar fascia in left foot (DNP),marcuscamby
2676,2013-01-13,sore left foot (DNP),rasheedwallace
2677,2013-01-13,concussion (DNP),paugasol
2678,2013-01-13,bruised ribs (DTD),geraldwallace
2679,2013-01-13,strained neck (DNP),thabosefolosha
2680,2013-01-13,fractured right hand/finger (DNP),kevinlove
2681,2013-01-13,hyperextended right knee (DNP),malcolmleemalcomlee
2682,2013-01-13,strained right groin (DNP),andrisbiedrins
2683,2013-01-14,bruised right knee (DNP),chrispaul
2684,2013-01-14,sore right knee (DNP),deshawnstevenson
2685,2013-01-14,strained left hamstring (out indefinitely),emanuelginobilimanuginobili
2686,2013-01-14,strained right wrist (DNP),jareddudley
2687,2013-01-14,back spasms (DNP),jermaineoneal
2688,2013-01-14,sore left ankle (DNP),jordancrawford
2689,2013-01-14,sprained left ankle (DNP),trevorbooker
2690,2013-01-15,bruised right knee (DNP),chrispaul
2691,2013-01-15,surgery to repair fractured right hand/finger,kevinlove
2692,2013-01-16,sore right knee / rest (DNP),ericgordon
2693,2013-01-16,sore right knee (DNP),linaskleiza
2694,2013-01-16,sprained right ankle (DNP),stephencurry
2695,2013-01-16,sore left ankle (DNP),jordancrawford
2696,2013-01-16,sprained left ankle (DNP),trevorbooker
2697,2013-01-17,bruised right knee (DNP),chrispaul
2698,2013-01-17,sore left foot (DNP),rasheedwallace
2699,2013-01-17,recovering from surgery to repair fractured right hand/finger (DNP),kevinlove
2700,2013-01-17,recovering from surgery on right knee and right hip,malcolmleemalcomlee
2701,2013-01-18,sinus infection (DTD),kwamebrown
2702,2013-01-18,bruised ribs (DNP),averybradley
2703,2013-01-18,strained lower back (DNP),zachrandolph
2704,2013-01-18,left hamstring injury (DNP),alhorford
2705,2013-01-18,sore right knee (DNP),deshawnstevenson
